timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp_c
9200738,300,88,17204,-107,164,-30,24.4829
9222424,236,60,17372,-132,139,-34,24.3888
9244115,276,28,17348,-113,128,-50,24.4829
9265799,316,36,17192,-88,145,-34,24.5771
9287483,236,88,17268,-103,175,-66,24.53
9309168,308,40,17312,-112,129,-37,24.4359
9330852,352,132,17220,-129,152,-48,24.53
9352541,344,12,17328,-117,158,-76,24.5771
9374244,220,72,17376,-115,115,-47,24.4829
9395937,280,-28,17184,-128,154,-31,24.4829
9417629,268,128,17132,-104,179,-25,24.4829
9439333,300,52,17360,-119,157,-32,24.4359
9461038,176,96,17296,-106,159,-77,24.53
9482728,244,40,17336,-104,169,-33,24.53
9504417,264,128,17304,-133,160,-3,24.4359
9526105,300,84,17336,-122,120,-47,24.3888
9547791,312,0,17248,-105,170,-67,24.4829
9569483,244,24,17264,-96,144,-48,24.4829
9591171,116,92,17424,-132,141,-65,24.4829
9612856,368,32,17272,-125,153,-34,24.4829
9634541,236,24,17344,-115,196,-63,24.4359
9656226,244,48,17432,-123,143,-71,24.4359
9677922,264,152,17256,-117,144,-30,24.4359
9699612,208,36,17324,-99,167,-27,24.53
9721297,236,60,17408,-103,139,-17,24.53
9742982,228,-24,17320,-111,155,-25,24.4359
9764675,364,152,17164,-118,133,-30,24.4829
9786371,268,64,17308,-118,156,-19,24.4829
9808063,316,88,17392,-131,154,-28,24.4829
9829751,336,-56,17308,-105,160,-94,24.4829
9851448,328,120,17196,-105,145,-34,24.53
9873138,176,92,17352,-125,126,-70,24.53
9894833,272,92,17184,-115,153,-34,24.4359
9916517,308,48,17232,-103,131,-79,24.4359
9938201,228,24,17316,-111,126,-24,24.53
9959885,240,44,17304,-128,137,-35,24.4359
9981570,280,-24,17384,-102,133,-31,24.4829
